"Respondent ID","Start Date",EndDate,"IP Address","Country Code","Country Name","Please rank the importance of each xslt version",,,,"Please rank xslt versions from most important (top) to least important (bottom).","How long have you been using XSLT ?","Which XSLT processor(s) do you use the most ?","What environment/operating system do you run your XSLT in ?",,"Please provide any additional information about how you use XSLT, expectations for the future or any general comment you would like to make.",Type,Platform,Agent,Referrer
,,,,,,"XSLT v1.0","XSLT1.0 + exslt","XSLT v2.0","XSLT v3.0",,Response,,Response,"Other Text",,,,,
39555009,"2013-01-28 04:52:25","2013-01-28 04:53:29",153.96.215.253,DE,Germany,Extremely,Extremely,"Not very","Not at all","XSLT v1.0 + exslt, XSLT v1.0, XSLT v2.0, XSLT v3.0","a few years","libxslt in conjunction with PHP for CMS purposes (symphony-cms.com), xsltproc for small day to day tools",Linux,,,"Browser, Direct",Linux,"Firefox 17.0",
39555067,"2013-01-28 04:53:30","2013-01-28 04:55:52",83.208.57.132,CZ,"Czech Republic","Not at all","Not very",Somewhat,Extremely,"XSLT v3.0, XSLT v2.0, XSLT v1.0 + exslt, XSLT v1.0","a long time","saxon, ml","Linux, OSX, Java, .NET",,,"Browser, Direct",,,
39555070,"2013-01-28 04:53:02","2013-01-28 04:55:09",115.114.96.2,IN,India,Somewhat,Somewhat,Extremely,Somewhat,"XSLT v1.0, XSLT v2.0, XSLT v3.0, XSLT v1.0 + exslt","less then 5 years","saxon 9",,,,"Browser, Direct","Windows XP","IE 8.0",
39555191,"2013-01-28 04:55:43","2013-01-28 04:57:23",60.241.77.126,AU,Australia,Extremely,Extremely,Somewhat,Somewhat,"XSLT v1.0, XSLT v1.0 + exslt, XSLT v2.0, XSLT v3.0","less then a year",Datapower,,Datapower,,"Mobile Device, Direct","iOS 5.1","Safari 5.1",
39555220,"2013-01-28 04:56:17","2013-01-28 04:58:06",193.130.68.17,GB,"United Kingdom",Extremely,"No opinion",Extremely,Somewhat,"XSLT v2.0, XSLT v3.0, XSLT v1.0, XSLT v1.0 + exslt","a long time",saxon,Java,,,"Browser, Direct",Linux,"Chrome 24.0",http://t.co/KhWP9dDb
39555335,"2013-01-28 04:59:25","2013-01-28 05:00:40",46.126.158.51,CH,Switzerland,Extremely,"Not at all",Extremely,"Not very","XSLT v2.0, XSLT v1.0, XSLT v3.0, XSLT v1.0 + exslt","a long time",Saxon,"Linux, OSX",Browsers,,"Browser, Direct","Mac OS X 10.8","Firefox 16.0",http://t.co/KhWP9dDb
39555361,"2013-01-28 04:52:57","2013-01-28 05:01:38",95.97.147.184,NL,Netherlands,Somewhat,Somewhat,Extremely,"No opinion","XSLT v2.0, XSLT v1.0, XSLT v1.0 + exslt, XSLT v3.0","a long time","Mostly Saxon, when possible, otherwise default",Java,,"I see more and more use of xslt on big xml files (> 500MB)  I mostly use xslt from a small java program to configure stylesheets, input/output and parameters,","Browser, Direct","Windows Vista","Chrome 24.0",
39555367,"2013-01-28 04:59:56","2013-01-28 05:01:37",93.178.244.70,UA,Ukraine,Extremely,Somewhat,Extremely,"Not at all","XSLT v2.0, XSLT v1.0, XSLT v1.0 + exslt, XSLT v3.0","less then a year","Saxon 9 HE",Java,,,"Browser, Direct","Windows XP","Firefox 18.0",
39555449,"2013-01-28 04:58:31","2013-01-28 05:03:10",192.87.139.123,NL,Netherlands,Somewhat,Somewhat,Extremely,Somewhat,"XSLT v2.0, XSLT v3.0, XSLT v1.0 + exslt, XSLT v1.0","a long time","Saxon 9.x  libxslt","Java, Linux, OSX",,"My web sites are fully XML based and run on a combination of XSLT and XQuery , where the choice on which one to use for a task is sometimes a bit arbitrary ;-) For XSLT 3.0 I'm most interested in the streaming capabilities, but I haven't tried them out yet.","Browser, Direct","Mac OS X 10.8","Firefox 18.0",
39555508,"2013-01-28 05:00:40","2013-01-28 05:04:24",178.177.148.30,RU,Russia,"Not at all","Not at all",Extremely,"Not at all","XSLT v2.0, XSLT v3.0, XSLT v1.0 + exslt, XSLT v1.0","a long time","saxon, also have license for EE but not use it - it was bought as present for Mike Kay at last Christmas :)",Linux,,"mostly in eXist-db","Browser, Direct",Linux,"Chrome 24.0",
39555603,"2013-01-28 05:05:13","2013-01-28 05:06:33",212.201.99.254,DE,Germany,"Not very","Not very",Extremely,Somewhat,"XSLT v2.0, XSLT v1.0, XSLT v3.0, XSLT v1.0 + exslt","a few years",Saxon,"OSX, Linux",,,"Browser, Direct","Mac OS X 10.8","Safari 6.0",http://t.co/KhWP9dDb
39556058,"2013-01-28 05:07:41","2013-01-28 05:15:56",46.236.131.57,RU,Russia,"No opinion",Somewhat,Extremely,"No opinion","XSLT v2.0, XSLT v1.0 + exslt, XSLT v1.0, XSLT v3.0","a long time","libxslt  saxon  firefox",Java,"FreeBSD, Windows","transform ISO-2709/marcxml bib. records  web apps","Browser, Direct",FreeBSD,"Firefox 16.0",
39556256,"2013-01-28 05:13:29","2013-01-28 05:19:46",82.92.95.202,NL,Netherlands,Somewhat,Somewhat,Extremely,"No opinion","XSLT v2.0, XSLT v1.0 + exslt, XSLT v3.0, XSLT v1.0","a long time","xalan  saxon","OSX, Java, Linux",,"There's always a discrepancy between the new technology developments and the demand for them. Business tends to be slow in adapting new technologies. With reason, business is about making money, not about using cool technology. If the new technology proofs to be a better version and/or makes tasks more simple and/or faster, then the adaptation process will be quite equivalently fast.","Browser, Direct","Mac OS X 10.8","Firefox 18.0",
39556341,"2013-01-28 05:20:01","2013-01-28 05:21:31",87.213.46.130,NL,Netherlands,Extremely,"Not very",Somewhat,"No opinion","XSLT v2.0, XSLT v1.0, XSLT v3.0, XSLT v1.0 + exslt","a long time","MSXML, Transformiix, libxml",,Browser/Javascript,,"Browser, Direct","Windows 7","Chrome 24.0",
39556382,"2013-01-28 05:17:25","2013-01-28 05:22:11",194.106.133.113,IE,Ireland,Extremely,Extremely,Somewhat,"No opinion","XSLT v1.0, XSLT v1.0 + exslt, XSLT v2.0, XSLT v3.0","a long time","Saxon mainly","Linux, Java",,"Needs to be more portable! Also needs more support for newer versions on different platforms, just having Saxon support for 2.0 and probably 3.0 is simply not enough, many people are depending on the libxslt implementation for their tools at the moment!","Browser, Direct","Windows 7","Firefox 18.0",
39556391,"2013-01-28 04:55:18","2013-01-28 05:22:22",86.24.203.198,GB,"United Kingdom","Not very",Extremely,Somewhat,Somewhat,"XSLT v1.0 + exslt, XSLT v3.0, XSLT v2.0, XSLT v1.0","a long time","MarkLogic, xsltproc",Linux,,,"Browser, Direct",Linux,"Chrome 20.0",
39556745,"2013-01-28 05:27:33","2013-01-28 05:28:51",92.69.204.64,NL,Netherlands,Somewhat,"Not at all",Extremely,"No opinion","XSLT v2.0, XSLT v1.0, XSLT v3.0, XSLT v1.0 + exslt","a long time","Saxon (mostly)","Java, OSX, Linux",,,"Browser, Direct","Mac OS X 10.8","Safari 6.0",
